Number of occurrences (+-),POS,Lemma,Morph,Morph corrected phonetics,Gloss,замечания (ОТВЕТ НА НЕГО ПИШИТЕ КОММЕНТАРИЕМ К ЯЧЕЙКЕ),Context,ft,Transcription,Source
23,v,?,?,?,look.IMP,"запись разобрать не удается, отrуда взялась глосса - не знаю",hille-na (where-and)      w\i- (you.PL)      mi\?g  (this)      ti\?g  (that)      . (.)      m-a<d>a (PROH-<HPL>do)      . (look.IMP)      mi (this)      sahal (hour)      q-iq'a-s-\i- (PV-come-INF-FUT),"Никуда не уходите, я сейчас приду",hillena <?> mada mi\?g ti\?g <?> mi sahal qiq'as\i-,Magomedshapi_Nina_glossed_23_07latin
1,v,?,kirx,?,SURF-???, = kirxur 'поступил?',"   njah  (???)      ha-nɨwɨ-s (that-OBL.H-DAT)      za-d  (I-ERG)      t'it'  (nipple)      ki-wɨ-s-dɨ  (SURF-give(?)-INF-ATTR)      χotja  (although[R])      sa  (one)      hadan  (???)      za-d  (I-ERG)      uˤχuˤ-n  (1.keep.PFV-MSD)      badana,  (for)      sa  (one)      elig  (???)      q-ɨʔɨ-n  (RE-1.do.PFV-MSD)      badana,  (for)      ha-d  (that-ATTR)      χɨnɨχ  (child)      za-d,  (I-ERG)      we-χ (you.PL-SUB.ESS)      we-χda=xa  (you.PL-SUB.ESS=ADD)      šudda  (how.much)      kirx (SURF-??? (= просить))      minnat  (request)      w-aʔa-r=a  (3-do.IPFV-CVB-be)      kar  (thing)      hɨkɨsɨ  (4.become-INF-FUT)      xur=xa,  (QUOT=ADD)      sa  (one)      hadan  (???)      uˤχuˤ-s  (1.keep-INF)      za-d  (I-ERG)      zɨ=xa  (I=ADD)      uˤ<r>uˤχuˤ-n  (<2>keep.PFV-MSD)      badana  (for)      xur=xa (QUOT=ADD)      za-d  (I-ERG)      ha-d  (that-ATTR)      χa-ʁu-r=xa, (PV-1.throw.PFV-CVB=ADD)      Аllah-a-d  (Allah-OBL-ATTR)      uliχda  (in.front)      iz-dɨ  (I.OBL-ATTR)      jüzüqara  (sinner)      jiʔi  (COP2(?))      xur=xa. (QUOT=ADD)   ","Вместо того чтобы его кормить, лучше я за старшим присмотрю, сколько можно у вас просить, умолять, чтобы одного сохранить и себя сохранить я его бросила, перед Богом я согрешила(?).","njah hanɨ wɨs zad t'it' kiwɨsdɨ χotja sa hadan zad uˤχuˤn badana, sa elig qɨʔɨn badana, had χɨnɨχ zad, weχda xa šudda kirx... minnat waʔara kar hɨkɨsɨ xurxa, sa hadan uˤχuˤs zad zɨxa uˤruˤχuˤn badana xur xa zad had χaʁur xa, Allahad uliχda izdɨ jüzü qara jiʔi xurxa ",muhammad_shafi_4latin
1,n,?,küpejoʁli,?,son.of.a.bitch,Лучше переслушать,"   li<w>i-r  (<3>eat.PFV-CVB(AOR))      xur  (QUOT)      gja<r>ɨɢa-ma=xwa,  (<1>look.IPFV-LIM=ADD)      a  (PTCL)      küpejoʁli  (son.of.a.bitch)      xur=xwa. (QUOT=ADD)   ","Съели, пока я смотрел, вот сукин сын.","Liwir xur gjarɨrɢama=xwa, a küpejoʁli xur=xwa. ",kna_2018_17_gljh_1942latin
1,v,halgas,<d>alga-d,<d>alga-d,<HPL>speak.IPFV-ATTR,3 класс?, ,"Раньше азербайджанские буквы были, азербайджанский язык учили, потому что наши люди по-азербайджански говорили.","Siftäd waχtindi hele азербайджанский буква были, Азербайджан č'elila χaraʔari, jisχune iχdɨ insanar dalgat азебайджанский č'elila jiʔi.",kna_said02
1,v,hɨwɨs,h\i-w\i-dʲaq'u\?g;4.hɨwɨ-dʲ-a qu-ʔ,4.hɨwɨ-dʲ-a qu-ʔ,4.give.PFV-ATTR-IN.EL backward,не уверена в классе,dibir-a-ra (dibir-OBL-ERG)      suq'u-r (sit.PFV-CVB)      kilʲxe-r-a  (write.IPFV-CVB-be)      wilc'a-r-a (give.IPFV-CVB-be)      nekʲah (никах)      ? ()      ti (that)      edemi-je-da  (man-OBL-LOC)      Xulka-r-a (ask.IPFV-CVB-be)       w\i- (you.SG)      razi-j-ii (content-1-COP1)      mi-d (this-4)      r-a-as (2-do.IPFV-INF)      jej ()      w\i- (you.SG)      razi-j-ii (content-1-COP1)      . (.)      šahat-b\i-r (witness-PL)      kar-b\i-r  (thing-PL)      h\i-w\i-dʲaq'u\?g  ()      nikʲah  (никах)      kixi-r (write.PFV-CVB),"Дибир сел, пишет, дает никях. Этого мужчину спрашивает - ты доволен ли ее взять (сделать)? - да. - Ты довольна ли? - да.",dibirara suq'ur kilʲxera wilc'ara nekʲah. Ti edemijeda Xulkara - w\i- razijii ma mit raas - jej - w\i- raziriima - jii - šahatb\i-r karb\i-r h\i-w\i-dʲaq'u\?g nikʲah kixir,Magomedshapi_Nina_glossed_23_07latin
6,stat,a,а;a,a,be,"В чем тут разница между вариантами в столбике D? Если ее нет, то удалите один из, если есть - перекрасьте ячейку на зеленый и забудьте, что я спросила",wɨ (you)      hili=jdʲen (where=indef)      mi-ʔ (this-lat)      ti-ʔ (yonder-lat)      l-i<r>xu-s=a (pv-<2>throw-inf=be)      ruxʷa-r=a (say.pfv-cvb=be)      r-ɨq'a (2-come.imp)      je-d (we-erg)      wɨ (you)      r-ɨwɨ-s (2-give-inf)      ruxʷa-r=a (say.pfv-cvb=be)      wa-s (you.obl-dat)      hɨga-na-q'uz (want-cvb-?)      razi (agree)      r-iʔi-na-q'uz (2-cop2-cvb-?)      q-ɨrɨrɨx (re-come)      sa-ʔ (down-lat)      a (be)      gad-i-jekan (guy-obl-com)      muˁq'-a (village-in(lat))      haji-la (what.obl-el)      za-da (I.obl-apud(ess))      biš-is (obl.pl-dat)      derde (situation)      hawɨ-r (give.pfv-cvb)      a (be)      haji-la (what.obl-el)      ix-dɨ (we.atr-atr)      č'abal-iši-k (sheep-obl.pl-cont)      mal-di-k (cattle-obl-cont)      q-ewita-r-diš (re-bother-cvb-no)      ha-d (that-atr)      uble (wolf.pl)      ha (that)      mad-dɨ (be.alien-atr)      biš-dɨ (obl.pl-atr)      dagul (steal)      haʔa-r=a (4.do.ipfv-cvb=be)      wa-d (you.SG-ERG)      r-\i-w\i-lc'a-r-\i--ma  (F-give??IPFV-CVB-?-INTERR)      ? ()      r-\i-w\i-lc'a-r-a  (F-give??.IPFV-CVB-be)      ide (?)      did (than)      xu-r=xa (say.PFV-CVB=ADD)      he-mi (EMPH-this)      a (be)      šaxad-wal-i-kan (witness-ABSTR-OBL-COMIT)      he-mi-d=xa (EMPH-this-4=ADD)      did (father)      j-ii (1-COP1)      xu-r=xa (say.PFV-CVB=ADD)      he-mi (EMPH-this)      a (be)      nekʲah  (никах)      kixʲ-a  (write-IMP)      xu-r=xa (say.PFV-CVB=ADD)      he-mi (EMPH-this)      x\i-d\i--nuw-d\i- (woman-OBL-ATTR)      mi (this)      edemi-je-d (man-OBL-ATTR)       ()      haj (threr)      ʁaʔ (outside.lat)      hasa-d (such-atr)      č'irč'ik (field.pl(?))      a-ni i (be-cvb cop2)      hasa-d (such-atr)      ǯiga-bɨr (places-pl)      a (be)      hasa-d (such-atr)      haj (there)      ʁaʔ (outside.lat)      xač (blueberrǧ)      ruʔu-r=a (go.ipfv-cvb=be)       (),"тебя куда-то забросит, давайте мы выдадим тебя за него, если ты согласна, выходи за него замуж и отправляйся в село""я им рассказала свою ситуацию, из-за этого волки не трогали наших овец и коров, а у других она крала""""Ты выдаешь ее или нет? - Выдаю, отец сказал. Прямо здесь, перед собранием, вот в данный момент смотри. Тот человек тоже бедный""""Вот этот отец тоже говорит: вот здесь пиши никях говорит. Эту женщину, этого мужчину.""""У нас есть такие места, где растет черника.""",wɨ hilijden miʔ tiʔ lirxusa ruxwara rɨq'a jed wɨ rɨwɨs ruxwara was hɨganaq'uz razi riʔinaq'uz qɨrɨrɨx saʔ a gadijekan muˁqahajila zada bišis derde hawɨra hajila ixdɨ č'abališik maldik qewitardiš had uble ha madɨ bišdɨ dagul haʔarawad r\i-w\i-lc'ar\i-ma r\i-w\i-lc'ar d\i-šma - r\i-w\i-lc'ara ide did xurxa hemi a šaxadwalikan mi a RurRa gʲaq' xurxa ti edemi xa kasibji xurxa hemitxa did jii xurxa hemi a nekʲah kixʲa xurxa hemi x\i-d\i-nuwd\i- mi edemijed haj ʁaʔ hasad č'irč'ik aniʔi hasad ǯigabɨr a hasad haj ʁaʔ xač ruʔura,180722_0090Magomedshapi_Nina_glossed_23_07latin180725_0187_ludmila
1,ptcl,a,a,a,PTCL,,"   li<w>i-r  (<3>eat.PFV-CVB(AOR))      xur  (QUOT)      gja<r>ɨɢa-ma=xwa,  (<1>look.IPFV-LIM=ADD)      a  (PTCL)      küpejoʁli  (son.of.a.bitch)      xur=xwa. (QUOT=ADD)   ","Съели, пока я смотрел, вот сукин сын.","Liwir xur gjarɨrɢama=xwa, a küpejoʁli xur=xwa. ",kna_2018_17_gljh_1942latin
1,v,ač'irχas,ač'irχa-s;a-č'-i<r>χa-s,a-č'-i<r>χa-s,IN-EXPR-<1>enter-INF,,raˤq (road)      χowɢ-u-n (block-PFV-NMLZ)      xele (yet)      ǯesuxwaj (despite)      χal-a (house-In(Ess))      ač'irχa-s (thrust-INF)      lux-u-r-a (try-PFV-CVB-AUX)      ani jiʔi (be)      χal-a (house-In.(Ess))      hul-a (window-In.(EL))      aʔ (inside)      ač'irχ-ɨ-r-a (thrust-PFV-CVB-AUX)      sus-a-d (bride-Obl-GEN)      χal-dɨ (house-ATTR),"мало ему дорогу прикрывать, в дом пытается залезть, где невеста спит, через окошко лезет","raˤq χowɢun hele ǯesuqwaj, χala ač'irxas ljuɢura ani jiʔi, χala hulja aʔ ač'irxɨra sus ad χaldɨ ",Polina_text_s_Saadi_TextGridlatin
1,v,ač'irχas,ač'irχ-ɨ-r-a;a-č'-i<r>χɨ-r=a,a-č'-i<r>χɨ-r=a,IN-EXPR-<1>enter.PFV-CVB=be,,raˤq (road)      χowɢ-u-n (block-PFV-NMLZ)      xele (yet)      ǯesuxwaj (despite)      χal-a (house-In(Ess))      ač'irχa-s (thrust-INF)      lux-u-r-a (try-PFV-CVB-AUX)      ani jiʔi (be)      χal-a (house-In.(Ess))      hul-a (window-In.(EL))      aʔ (inside)      ač'irχ-ɨ-r-a (thrust-PFV-CVB-AUX)      sus-a-d (bride-Obl-GEN)      χal-dɨ (house-ATTR),"мало ему дорогу прикрывать, в дом пытается залезть, где невеста спит, через окошко лезет","raˤq χowɢun hele ǯesuqwaj, χala ač'irxas ljuɢura ani jiʔi, χala hulja aʔ ač'irxɨra sus ad χaldɨ ",Polina_text_s_Saadi_TextGridlatin
7,stat,a,a-d,a-d,be-ATTR,,haja (?)      mi (this)      ǯamaʔat-ije-ra (folk-obl-erg)      iǯilas-da (meeting-apud(lat))      решение ()      i-ʁ-ile-r=a (pv-pv-pull-cvb=be)       ()      mi-d (this-atr)      daχa-la (day-el)      qu-ʔ (back-lat)      ha-d (that-atr)      χɨ-dɨ-nuw-dɨ (?-atr-obl-atr)      χatir (offend)      a-d (be-atr)      q-aʔa-s-diš (re-do.ipfv-inf-no)      gʲ-aɢɨ-d=xʷa (pv-look-atr=add)      uu (above)      культурный ()      uu (above)      walɨg-xad (???)      šuw (what)      a-d (be-atr)      edemi (man)      jiʔi (1.cop2)      xur=xʷa (quot=add)       ()      Hawalaj (Havalay)      babaj-dɨ (granny-ATTR)      nikja (islamic.wedding)      haʔa-r=a (4.do.IPFV-CVB=be)      Мirzaχan-ɨ-s (mirzakhan-OBL-DAT)       ()      Мirzaχan=xa (mirzakhan=ADD)       ()      xɨw (bread)      kar (thing)      a-d (be-ATTR)      χal-laχ (house-?)      a-d (be-ATTR)      edemi (person)      j-iʔi-j (1-COP1-PST)       ()      ǯux-dɨ (which-ATTR)      χɨnimer=xa (child.PL=ADD)      a-d (be-ATTR)       ()      mi-now-dɨ (this-OBL-ATTR)      xɨdɨldɨ (woman)      r-iq'i-r-a-d (2-die.PFV-CVB=be-ATTR)       ()      mi-nowu-s (this-OBL-DAT)      r-ɨga-r=a (2-want.PFV-CVB=be)      tože ()      xɨdɨldɨ (woman)      xinime-ši-χda (child.PL-OBL.PL-LOC)      gja<r>ɢa-s (<2>look.PFV-INF)       ()      Salman (Salman)      baba-d=xa (grandfather-ATTR=ADD)      xɨdɨldɨ (woman)      r-iq'i-r (2-die.PFV-CVB)      a-d (be-ATTR)      r-iʔi-j (2-COP1-PST)      xɨnimer (child.PL)      ani-d-iʔi-j (be.CVB-HPL-COP1-PST)       ()      mita (?)      a-d (be-ATTR)       ()      haja (later)      mi (this)      xɨle-š-dɨ (woman.PL-OBL.PL-ATTR)      nikja (islamic.wedding)      hɨʔɨ-r (4.do.PFV-CVB)      kar (thing)      mij (here)      mi (this)      a<d>ɨrga-r=a (<HPL>stay.IPFV-CVB=be)       ()      xa (PTCL)      xɨle-š-e (woman.PL-OBL.PL-ERG)      w-aʔa-r=a (3-do.IPFV-CVB=be)      nin-waldɨ (mother-ABSTR)       ()      q'oxe (adult)      d-aʔa-r=a (HPL-do.IPFV-CVB=be)       ()      ǯüdχud (stepchild)      χɨnimer=xa (child.PL=ADD)       ()      xele (later)      ǯü-kla (REFL-LOC)      Гьawalai-s (havalay/OBL-DAT)      ruʔu-r=a (1.go.IPFV-CVB=be)      sa (one)      χɨnɨχ (child)       ()      Miχri (mihri)      babai-s (granny/OBL-DAT)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)       ()      χɨnɨχ (child)      na (AND)      rɨš (daughter)      q'wa-r (two-2)       ()      ha-bɨr (he-PL)      q'oxe (adult)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)       (),"они собираются народом и обсуждают, что с этого дня они не будут обижать эту женщину""посмотрела девочка, культурно одетый мужчина был""""Хавалай бабай поженили на Мирзахане, Мирзахан, был состоятельным человеком, у которого были дети, у которого умерла жена, ему нужна была женщина которая будет присматривать за детьми.""""У Салман бабы тоже жена умершая, остались дети """"Эти женщины делают никях, они здесь остаются, эти женщины принимают материнство, они выращивают своих детей, потом ему Авала рождает одного ребенка, Михри бабушке рождается два ребенка сын и дочь, они вырастают.""","haja mi ǯamaˁʔatijera iǯilasda решение iʁilera mid daχala quʔ had xɨdɨnuwdɨ χatir ad haʔasdišgäɢɨd xwa uu kulturnɨj uu walɨgxad šuw ʔad edemi jiʔi xurxwa""Hawalaj babajdɨ nikja haʔara Mirzaχaɨs, Mirzaχan xa xɨw kar ad χallaχ ad edemi jiʔij ǯuχda χɨnimer xa ad minowdɨ xɨdɨldɨ riq'irat minowus rɨgara tože xɨdɨldɨ xinimešiχda gjarkas ""Salman babatχa xɨdɨldɨ riq'ir ad riʔij xɨnimer anidiʔij ""mita ad aja mi xɨlešdɨ nikja hɨʔɨr mij mi adɨrgara ha xɨleše waʔara ninwaldɨ q'oχe daʔara ǯüduχud χɨnemerχa xele ǯükla Awalais ruʔura sa χɨnɨχ, Miχri babais duruʔura, χɨnɨχna rɨš q'war, habɨr q'oχe duruʔura """,180722_0090kna_babushkakna_muhammadshafi05_1_6_18latin
